# Generated: 2025-12-06T17:27:33.775Z
# Source page: https://tracinginsights.com/
# Event: Abu Dhabi Grand Prix
# Session: Practice 1
# Year: 2025
# Notes: Values are in SI units unless specified. Missing fields are empty.
# Status legend:
#   1 = Track Clear - Normal racing conditions
#   2 = Yellow Flag - Caution period, no overtaking in affected sector
#   4 = Safety Car - All cars follow safety car
#   5 = Red Flag - Session stopped, return to pits
#   6 = Virtual Safety Car - Maintain minimum lap time
#   7 = VSC Ending - Normal racing about to resume
# Options: fuelCorrection=off, includeAllColumns=on
# Drivers: VER, NOR
LAP,VER_TIME,VER_POSITION,VER_POSITION_CHANGE,VER_COMPOUND,VER_STINT,VER_PITSTOP,VER_TIRE_LIFE,VER_S1,VER_S2,VER_S3,VER_SECTOR_SUM,VER_STATUS,VER_PERSONAL_BEST,NOR_TIME,NOR_POSITION,NOR_POSITION_CHANGE,NOR_COMPOUND,NOR_STINT,NOR_PITSTOP,NOR_TIRE_LIFE,NOR_S1,NOR_S2,NOR_S3,NOR_SECTOR_SUM,NOR_STATUS,NOR_PERSONAL_BEST
10,84.493,,,SOFT,3,FALSE,2,17.29,36.506,30.697,84.493,1,TRUE,91.638,,,MEDIUM,2,FALSE,10,17.691,37.77,36.177,91.638,1,FALSE
11,,,,SOFT,3,FALSE,3,34.728,80.504,53.677,168.909,1,FALSE,,,,SOFT,3,TRUE,1,,47.938,39.901,,1,FALSE
12,145.15,,,SOFT,3,FALSE,4,31.403,62.799,50.948,145.15,1,FALSE,123.622,,,SOFT,3,FALSE,2,21.827,58.039,43.756,123.622,1,FALSE
13,84.514,,,SOFT,3,FALSE,5,17.354,36.402,30.758,84.514,1,FALSE,84.519,,,SOFT,3,FALSE,3,17.393,36.532,30.594,84.519,1,FALSE
14,95.176,,,SOFT,3,FALSE,6,18.999,39.778,36.399,95.176,1,FALSE,138.473,,,SOFT,3,FALSE,4,24.358,63.827,50.288,138.473,1,FALSE
15,,,,HARD,4,TRUE,9,,39.179,33.244,,1,FALSE,149.663,,,SOFT,4,TRUE,5,55.509,53.481,40.673,149.663,1,FALSE
16,89.605,,,HARD,4,FALSE,10,18.161,38.507,32.937,89.60499999999999,1,FALSE,84.485,,,SOFT,4,FALSE,6,17.39,36.526,30.569,84.485,1,TRUE
17,89.451,,,HARD,4,FALSE,11,18.237,38.355,32.859,89.451,1,FALSE,91.804,,,SOFT,4,FALSE,7,21.508,38.076,32.22,91.804,1,FALSE
18,89.138,,,HARD,4,FALSE,12,18.117,38.261,32.76,89.138,1,FALSE,87.654,,,SOFT,4,FALSE,8,17.919,37.887,31.848,87.654,1,FALSE
19,89.298,,,HARD,4,FALSE,13,18.129,38.328,32.841,89.298,1,FALSE,89.323,,,SOFT,4,FALSE,9,17.631,37.724,33.968,89.32300000000001,1,FALSE
20,89.644,,,HARD,4,FALSE,14,18.186,38.469,32.989,89.644,1,FALSE,,,,MEDIUM,5,TRUE,11,,39.275,32.811,,1,FALSE
21,89.638,,,HARD,4,FALSE,15,18.128,38.496,33.014,89.638,1,FALSE,90.134,,,MEDIUM,5,FALSE,12,18.271,38.708,33.155,90.134,1,FALSE
22,89.709,,,HARD,4,FALSE,16,18.107,38.547,33.055,89.709,1,FALSE,89.593,,,MEDIUM,5,FALSE,13,18.229,38.557,32.807,89.593,1,FALSE
23,89.73,,,HARD,4,FALSE,17,18.039,38.678,33.013,89.72999999999999,1,FALSE,89.8,,,MEDIUM,5,FALSE,14,18.351,38.696,32.753,89.8,1,FALSE
24,89.806,,,HARD,4,FALSE,18,18.061,38.695,33.05,89.806,1,FALSE,89.776,,,MEDIUM,5,FALSE,15,18.161,38.648,32.967,89.77600000000001,1,FALSE
25,93.865,,,HARD,4,FALSE,19,18.208,41.794,33.863,93.865,1,FALSE,90.552,,,MEDIUM,5,FALSE,16,18.388,38.737,33.427,90.55199999999999,1,FALSE
26,90.116,,,HARD,4,FALSE,20,18.202,38.621,33.293,90.11600000000001,1,FALSE,96.955,,,MEDIUM,5,FALSE,17,20.44,39.034,37.481,96.95500000000001,1,FALSE
27,90.072,,,HARD,4,FALSE,21,18.08,38.766,33.226,90.072,1,FALSE,131.277,,,MEDIUM,5,FALSE,18,25.074,53.188,53.015,131.277,1,FALSE
28,90.111,,,HARD,4,FALSE,22,18.314,38.612,33.185,90.111,1,FALSE,,,,MEDIUM,5,FALSE,19,54.915,54.083,47.113,156.111,1,FALSE
29,146.762,,,HARD,4,FALSE,23,29.697,61.545,55.52,146.762,1,FALSE,,,,,,,,,,,,,
30,133.568,,,HARD,4,FALSE,24,45.717,45.933,41.918,133.568,1,FALSE,,,,,,,,,,,,,
